Land,Order,Visits,,,,
Avocado,Diptera,6,,,,
Avocado,Diptera,38,,,,
Avocado,Diptera,26,,,,
Avocado,Diptera,80,,,,
Avocado,Diptera,12,,,,
Avocado,Hymenoptera,0,,,,
Avocado,Hymenoptera,12,,,,
Avocado,Hymenoptera,4,,,,
Avocado,Hymenoptera,8,,,,
Avocado,Hymenoptera,7,,,,
Avocado,Coleoptera,0,,,,
Avocado,Coleoptera,0,,,,
Avocado,Coleoptera,0,,,,
Avocado,Coleoptera,0,,,,
Avocado,Coleoptera,0,,,,
Avocado,Lepidoptera,0,,,,
Avocado,Lepidoptera,0,,,,
Avocado,Lepidoptera,0,,,,
Avocado,Lepidoptera,0,,,,
Avocado,Lepidoptera,0,,,,
Dairy,Diptera,127,,,,
Dairy,Diptera,71,,,,
Dairy,Diptera,33,,,,
Dairy,Diptera,159,,,,
Dairy,Hymenoptera,0,,,,
Dairy,Hymenoptera,6,,,,
Dairy,Hymenoptera,39,,,,
Dairy,Hymenoptera,16,,,,
Dairy,Coleoptera,19,,,,
Dairy,Coleoptera,0,,,,
Dairy,Coleoptera,0,,,,
Dairy,Coleoptera,0,,,,
Dairy,Lepidoptera,12,,,,
Dairy,Lepidoptera,0,,,,
Dairy,Lepidoptera,12,,,,
Dairy,Lepidoptera,12,,,,
Forest,Diptera,18,,,,
Forest,Diptera,19,,,,
Forest,Diptera,8,,,,
Forest,Diptera,6,,,,
Forest,Diptera,12,,,,
Forest,Diptera,66,,,,
Forest,Hymenoptera,0,,,,
Forest,Hymenoptera,6,,,,
Forest,Hymenoptera,0,,,,
Forest,Hymenoptera,0,,,,
Forest,Hymenoptera,6,,,,
Forest,Hymenoptera,6,,,,
Forest,Coleoptera,0,,,,
Forest,Coleoptera,0,,,,
Forest,Coleoptera,0,,,,
Forest,Coleoptera,0,,,,
Forest,Coleoptera,0,,,,
Forest,Coleoptera,0,,,,
Forest,Lepidoptera,0,,,,
Forest,Lepidoptera,0,,,,
Forest,Lepidoptera,0,,,,
Forest,Lepidoptera,0,,,,
Forest,Lepidoptera,0,,,,
Forest,Lepidoptera,0,,,,
Potato,Diptera,41,,,,
Potato,Diptera,18,,,,
Potato,Diptera,75,,,,
Potato,Diptera,43,,,,
Potato,Diptera,32,,,,
Potato,Hymenoptera,6,,,,
Potato,Hymenoptera,18,,,,
Potato,Hymenoptera,12,,,,
Potato,Hymenoptera,0,,,,
Potato,Hymenoptera,12,,,,
Potato,Coleoptera,0,,,,
Potato,Coleoptera,7,,,,
Potato,Coleoptera,0,,,,
Potato,Coleoptera,0,,,,
Potato,Coleoptera,0,,,,
Potato,Lepidoptera,0,,,,
Potato,Lepidoptera,12,,,,
Potato,Lepidoptera,12,,,,
Potato,Lepidoptera,0,,,,
Potato,Lepidoptera,0,,,,
